feature_idx,idx,mlx_val,cpu_val,abs_diff,ulp_diff
1,22,-0.915906906,-0.947073102,3.116620e-02,522882
1,23,-0.886971354,-0.915906906,2.893555e-02,485458
1,24,-0.856051207,-0.886971354,3.092015e-02,518754
1,25,-0.8263551,-0.856051207,2.969611e-02,498218
1,26,-0.800952613,-0.8263551,2.540249e-02,426183
1,27,-0.777067006,-0.800952613,2.388561e-02,400734
1,28,-0.750036359,-0.777067006,2.703065e-02,453499
1,29,-0.726053655,-0.750036359,2.398270e-02,402363
1,30,-0.701981723,-0.726053655,2.407193e-02,403860
1,31,-0.678898335,-0.701981723,2.308339e-02,387275
1,32,-0.655724883,-0.678898335,2.317345e-02,388786
1,33,-0.629226089,-0.655724883,2.649879e-02,444576
1,34,-0.60588491,-0.629226088,2.334118e-02,391600
1,35,-0.582343757,-0.60588491,2.354115e-02,394955
1,36,-0.559175491,-0.582343757,2.316827e-02,388699
1,37,-0.535636246,-0.559175491,2.353925e-02,394923
1,38,-0.513955116,-0.535636246,2.168113e-02,363749
1,39,-0.49054265,-0.513955116,2.341247e-02,551464
1,40,-0.468487561,-0.49054265,2.205509e-02,740046
1,41,-0.446903825,-0.468487561,2.158374e-02,724230
1,42,-0.424969643,-0.446903825,2.193418e-02,735989
1,43,-0.402103394,-0.424969643,2.286625e-02,767264
1,44,-0.381421775,-0.402103394,2.068162e-02,693960
1,45,-0.358906955,-0.381421775,2.251482e-02,755472
1,46,-0.338534594,-0.358906954,2.037236e-02,683583
1,47,-0.318134606,-0.338534594,2.039999e-02,684510
1,48,-0.29812485,-0.318134606,2.000976e-02,671416
1,49,-0.276669651,-0.29812485,2.145520e-02,719917
1,50,-0.257791579,-0.276669651,1.887807e-02,633443
1,51,-0.237414449,-0.257791579,2.037713e-02,1106044
1,52,-0.216572464,-0.23741445,2.084199e-02,1398682
1,53,-0.194924951,-0.216572464,2.164751e-02,1452740
1,54,-0.173025519,-0.194924951,2.189943e-02,1469646
1,55,-0.153535753,-0.173025519,1.948977e-02,1307936
1,56,-0.133863211,-0.153535754,1.967254e-02,1320202
1,57,-0.113663197,-0.133863211,2.020001e-02,2116400
1,58,-0.0924088731,-0.113663197,2.125432e-02,2852707
1,59,-0.0730834603,-0.0924088731,1.932541e-02,2593813
1,60,-0.0522452742,-0.0730834603,2.083819e-02,4173220
1,61,-0.0306135006,-0.0522452742,2.163177e-02,5977594
1,62,-0.0111362021,-0.0306135006,1.947730e-02,12866700
1,63,0.00742179714,-0.0111362021,1.855800e-02,2278971606
1,64,0.0282844864,0.00742179714,2.086269e-02,16024146
1,65,0.0465549976,0.0282844864,1.827051e-02,5700502
1,66,0.0669159293,0.0465549976,2.036093e-02,4872900
1,67,0.0846652687,0.0669159293,1.774934e-02,2382276
1,68,0.105198413,0.0846652687,2.053314e-02,2755912
1,69,0.126158267,0.105198413,2.095985e-02,2735454
1,70,0.146310121,0.126158267,2.015185e-02,1352368
1,71,0.165693939,0.146310121,1.938382e-02,1300826
1,72,0.186565816,0.165693939,2.087188e-02,1400688
1,73,0.208134204,0.186565816,2.156839e-02,1447430
1,74,0.227198526,0.208134204,1.906432e-02,1279385
1,75,0.246481806,0.227198526,1.928328e-02,1294079
1,76,0.267724454,0.246481806,2.124265e-02,830836
1,77,0.288105875,0.267724454,2.038142e-02,683887
1,78,0.308061838,0.288105875,1.995596e-02,669611
1,79,0.328789651,0.308061838,2.072781e-02,695510
1,80,0.349364519,0.328789651,2.057487e-02,690378
1,81,0.367889524,0.349364519,1.852500e-02,621596
1,82,0.389060318,0.367889523,2.117079e-02,710374
1,83,0.413017213,0.389060319,2.395689e-02,803860
1,84,0.434606254,0.413017213,2.158904e-02,724408
1,85,0.45577094,0.434606254,2.116469e-02,710169
1,86,0.47655189,0.45577094,2.078095e-02,697293
1,87,0.499317199,0.47655189,2.276531e-02,763877
1,88,0.522712409,0.499317199,2.339521e-02,403962
1,89,0.543647468,0.522712409,2.093506e-02,351232
1,90,0.567608476,0.543647468,2.396101e-02,401999
1,91,0.591881037,0.567608476,2.427256e-02,407226
1,92,0.614626884,0.591881037,2.274585e-02,381612
1,93,0.637747049,0.614626885,2.312016e-02,387892
1,94,0.6612674,0.637747049,2.352035e-02,394606
1,95,0.684068799,0.6612674,2.280140e-02,382544
1,96,0.708759427,0.684068799,2.469063e-02,414240
1,97,0.735400915,0.708759427,2.664149e-02,446970
1,98,0.762118101,0.735400915,2.671719e-02,448240
1,99,0.788550198,0.762118101,2.643210e-02,443457
1,100,0.815442443,0.788550198,2.689224e-02,451177
1,101,0.844149709,0.815442443,2.870727e-02,481628
1,102,0.871979713,0.844149709,2.783000e-02,466910
1,103,0.900826573,0.871979713,2.884686e-02,483970
1,104,0.931207955,0.900826573,3.038138e-02,509715
1,105,0.963050008,0.931207955,3.184205e-02,534221
1,106,0.99273324,0.963050008,2.968323e-02,498002
1,107,1.02656066,0.99273324,3.382742e-02,344723
1,108,1.05837107,1.02656066,3.181041e-02,266845
1,109,1.0906415,1.05837107,3.227043e-02,270704
1,110,1.12482178,1.0906415,3.418028e-02,286725
1,111,1.16106439,1.12482178,3.624261e-02,304025
1,112,1.20050943,1.16106439,3.944504e-02,330889
1,113,1.24358618,1.20050943,4.307675e-02,361354
1,114,1.28338528,1.24358618,3.979910e-02,333859
1,115,1.330827,1.28338528,4.744172e-02,397970
1,116,1.3787626,1.330827,4.793560e-02,402113
1,117,1.42329156,1.3787626,4.452896e-02,373536
1,118,1.47232747,1.42329156,4.903591e-02,411343
1,119,1.53458941,1.47232747,6.226194e-02,522291
1,120,1.60611105,1.53458941,7.152164e-02,599967
1,121,1.68717313,1.60611105,8.106208e-02,679998
1,122,1.76546144,1.68717313,7.828831e-02,656730
1,123,1.87075973,1.76546144,1.052983e-01,883306
1,124,2.00140619,1.87075973,1.306465e-01,1090044
1,125,2.16174316,2.00140619,1.603370e-01,672502
1,126,2.44823074,2.16174316,2.864876e-01,1201616
2,0,-2.4322772,-2.4322772,3.000000e-09,0
2,1,-2.15317535,-2.15317535,4.000000e-09,0
2,2,-1.99648356,-1.99648356,4.000000e-09,0
2,3,-1.87793434,-1.87793434,3.000000e-09,0
2,4,-1.77455175,-1.77455175,1.000000e-09,0
2,5,-1.69224334,-1.69224334,2.000000e-09,0
2,6,-1.61386371,-1.65170705,3.784334e-02,317453
2,7,-1.54477382,-1.61386371,6.908989e-02,579568
2,8,-1.47761047,-1.54477382,6.716335e-02,563407
2,9,-1.41595876,-1.47761047,6.165171e-02,517172
2,10,-1.36388493,-1.41595876,5.207383e-02,436827
2,11,-1.31811535,-1.36388493,4.576958e-02,383943
2,12,-1.27109146,-1.31811535,4.702389e-02,394465
2,13,-1.22768521,-1.27109146,4.340625e-02,364118
2,14,-1.18653512,-1.22768521,4.115009e-02,345192
2,15,-1.14662242,-1.18653512,3.991270e-02,334812
2,16,-1.10808969,-1.14662242,3.853273e-02,323236
2,17,-1.06995797,-1.10808968,3.813172e-02,319872
2,18,-1.03585696,-1.06995797,3.410101e-02,286060
2,19,-1.00509882,-1.03585696,3.075814e-02,258018
2,20,-0.974026561,-1.00509882,3.107226e-02,478534
2,21,-0.942050219,-0.974026561,3.197634e-02,536474
2,22,-0.908875465,-0.942050219,3.317475e-02,556580
2,23,-0.879877567,-0.908875465,2.899790e-02,486504
2,24,-0.85305059,-0.879877567,2.682698e-02,450082
2,25,-0.827004552,-0.85305059,2.604604e-02,436980
2,26,-0.802563846,-0.827004552,2.444071e-02,410047
2,27,-0.775066376,-0.802563846,2.749747e-02,461331
