feat_idx,bin,gain_f32,gain_f64,gain_abs_residual
1,25,77.7126236,77.7126254109665,1.814775e-06
1,26,77.68286896,77.6828707855207,1.828001e-06
1,27,77.62976074,77.6297692335628,8.491375e-06
1,28,77.57740784,77.5774094609853,1.624071e-06
1,29,77.50330353,77.5032997459481,3.781884e-06
1,30,77.51538086,77.5153728939462,7.965429e-06
1,31,77.46230316,77.4622960269508,7.134670e-06
1,32,77.39009857,77.3900874254339,1.114634e-05
1,33,77.3367157,77.3367195162091,3.817967e-06
1,34,77.28111267,77.2811194440965,6.773198e-06
1,35,77.28690338,77.2869019613605,1.419987e-06
1,36,77.24684906,77.2468505473497,1.487291e-06
1,37,77.17318726,77.1731987378732,1.148201e-05
1,38,77.10713959,77.1071430377054,3.450303e-06
1,39,77.05182648,77.0518305295486,4.052498e-06
1,40,76.95243073,76.9524318996973,1.174600e-06
1,41,76.87086487,76.8708606371744,4.230990e-06
1,42,76.8026123,76.8026188806275,6.575940e-06
1,43,76.70567322,76.7056713536561,1.864117e-06
1,44,76.60920715,76.6092067552289,3.980915e-07
1,45,76.52848816,76.5284835778235,4.581356e-06
1,46,76.45651245,76.4565157146459,3.263474e-06
1,47,76.37352753,76.3735307638995,3.237044e-06
1,48,76.31530762,76.3153128657024,5.248515e-06
1,49,76.19940948,76.1994141784768,4.693614e-06
1,50,76.07242584,76.0724228629423,2.979343e-06
1,51,75.97120667,75.9712060951464,5.698926e-07
1,52,75.87332916,75.8733376052544,8.442657e-06
1,53,75.69914246,75.6991422528698,2.031848e-07
1,54,75.5914917,75.5914956304336,3.931215e-06
1,55,75.47846985,75.4784707769306,9.282978e-07
1,56,75.32817841,75.3281811744053,2.768644e-06
1,57,75.19701385,75.1970125521451,1.302835e-06
1,58,75.08994293,75.0899411649571,1.767172e-06
1,59,74.89028931,74.8902940229538,4.716313e-06
1,60,74.73323822,74.7332384853394,2.651246e-07
1,61,74.57730103,74.577307702374,6.676983e-06
1,62,74.43389893,74.4338968135821,2.112199e-06
1,63,74.24363708,74.2436447276967,7.642736e-06
1,64,0,0,0.000000e+00
1,65,73.88536072,73.8853596382943,1.079479e-06
1,66,74.06374359,74.0637508781463,7.286838e-06
1,67,74.24103546,74.2410414062764,5.944851e-06
1,68,74.39414215,74.3941480457606,5.894882e-06
1,69,74.52584839,74.5258513210829,2.932411e-06
1,70,74.68447113,74.6844667035377,4.426833e-06
1,71,74.82383728,74.8238299820881,7.298185e-06
1,72,74.99960327,74.9996090166387,5.745154e-06
1,73,75.14281464,75.1428137119857,9.242448e-07
1,74,75.27890778,75.2789075338751,2.420038e-07
1,75,75.39772797,75.3977308939504,2.927642e-06
1,76,75.50519562,75.505199248189,3.630513e-06
1,77,75.6140213,75.6140238729555,2.571686e-06
1,78,75.73928833,75.7392911182657,2.788188e-06
1,79,75.83466339,75.8346648898159,1.498703e-06
1,80,75.94966125,75.9496600302247,1.224658e-06
1,81,76.04849243,76.0484993183389,6.886698e-06
1,82,76.1615448,76.161546497844,1.698039e-06
1,83,76.2133255,76.2133183303047,7.170184e-06
1,84,76.30627441,76.3062793949366,4.980874e-06
1,85,76.40270996,76.4027015559918,8.404946e-06
1,86,76.47898102,76.4789779869661,3.031100e-06
1,87,76.61515045,76.6151484743706,1.977290e-06
1,88,76.6858139,76.685817227517,3.323708e-06
1,89,76.77236938,76.7723708125391,1.427773e-06
1,90,76.79715729,76.7971480659818,9.221616e-06
1,91,76.83963776,76.839633781198,3.975150e-06
1,92,76.9151535,76.9151515671066,1.936311e-06
1,93,76.95109558,76.9510963808892,7.998345e-07
1,94,77.09091187,77.0909037354917,8.129743e-06
1,95,77.14682007,77.1468168498047,3.218555e-06
1,96,77.16503906,77.1650469750721,7.912572e-06
1,97,77.18769073,77.1876918717757,1.136912e-06
1,98,77.22301483,77.2230150200027,1.884598e-07
1,99,77.26319885,77.2632068638622,8.011323e-06
1,100,77.28534698,77.2853522250502,5.240187e-06
1,101,77.28594208,77.2859416150648,4.625719e-07
1,102,77.29197693,77.2919823630687,5.434358e-06
1,103,77.31838226,77.3183840369009,1.773717e-06
1,104,77.36584473,77.3658369070564,7.819506e-06
1,105,77.42599487,77.4259893304358,5.542611e-06
1,106,77.44917297,77.4491754998244,2.526192e-06
1,107,77.42382812,77.4238214565264,6.668474e-06
1,108,77.41398621,77.4139829549103,3.251144e-06
1,109,77.3921051,77.3921025452971,2.557242e-06
