featIdx,bin,partition,sumLeft,sumRight,weightLeft,weightRight,mlx_skipped,mlx_termNum,mlx_termDen,cpu_termNum,cpu_termDen,term_num_diff,term_den_diff
0,42,0,9010.496094,726.6563721,16796,6641,0,4912.44325670613,4911.5442896241,4912.44325670613,4911.5442896241,9.094947e-13,0.000000e+00
0,42,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,43,0,9087.454102,649.6984253,17187,6250,0,4871.5666675652,4870.69587556851,4871.5666675652,4870.69587556851,0.000000e+00,0.000000e+00
0,43,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,44,0,9155.545898,581.6066895,17577,5860,0,4825.84189227485,4824.99869372243,4825.84189227485,4824.99869372243,0.000000e+00,0.000000e+00
0,44,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,45,0,9218.819336,518.3331909,17968,5469,0,4778.19746600317,4777.38109274446,4778.19746600317,4777.38109274446,0.000000e+00,-9.094947e-13
0,45,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,46,0,9282.925781,454.2266846,18359,5078,0,4733.59811201582,4732.80739132615,4733.59811201582,4732.80739132615,0.000000e+00,0.000000e+00
0,46,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,47,0,9338.243164,398.9095764,18750,4687,0,4684.0006018258,4683.23500621901,4684.00060182579,4683.23500621901,-9.094947e-13,-9.094947e-13
0,47,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,48,0,9383.296875,353.8554688,19140,4297,0,4628.51664487767,4627.7755333012,4628.51664487767,4627.7755333012,0.000000e+00,0.000000e+00
0,48,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,49,0,9432.904297,304.2478943,19531,3906,0,4578.79885815598,4578.08111669174,4578.79885815598,4578.08111669174,0.000000e+00,0.000000e+00
0,49,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,50,0,9483.587891,253.5640259,19921,3516,0,4532.3461853192,4531.65091508994,4532.3461853192,4531.65091508994,0.000000e+00,-9.094947e-13
0,50,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,51,0,9517.854492,219.2973938,20312,3125,0,4474.6190757304,4473.94581531511,4474.6190757304,4473.94581531511,0.000000e+00,0.000000e+00
0,51,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,52,0,9571.808594,165.3436737,20702,2735,0,4434.97977101363,4434.32768196173,4434.97977101363,4434.32768196173,0.000000e+00,9.094947e-13
0,52,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
0,53,0,9613.880859,123.271698,21093,2344,0,4387.71774590024,4387.08642619774,4387.71774590024,4387.08642619774,0.000000e+00,0.000000e+00
0,53,1,-0.048828125,-9737.373047,0,26563,1,0,0,3569.08958269998,3568.68653863057,3.569090e+03,3.568687e+03
