feat,bin,sumLeft,sumRight,weightLeft,weightRight,lambda,cosNum_term,cosDen_term,gain
0,115,3872.8359375,-3872.83642578125,45312,4688,3,3528.3608759062,3526.29417329727,59.417411503492
0,116,3621.5302734375,-3621.53076171875,45705,4295,3,3338.47273408472,3336.32393443664,57.7981220948667
0,117,3368.50048828125,-3368.5009765625,46095,3905,3,3149.6248135538,3147.37992083551,56.1415292582855
0,118,3093.63671875,-3093.63720703125,46486,3514,3,2927.10498175396,2924.77048227533,54.1243138024706
0,119,2811.1806640625,-2811.18115234375,46876,3124,3,2695.836516491,2693.40111139974,51.9449143199245
0,120,2528.01782226562,-2528.01831054688,47267,2733,3,2471.04607032217,2468.47625444769,49.7354859382361
0,121,2221.71313476562,-2221.71362304688,47657,2343,3,2207.57881577486,2204.88174462012,47.0136063928326
0,122,1908.10278320312,-1908.10314941406,48048,1952,3,1938.10193308338,1935.23940510102,44.0564262645252
0,123,1574.74157714844,-1574.74194335938,48438,1562,3,1635.73692890472,1632.6962929566,40.4818876480754
0,124,1218.59191894531,-1218.59228515625,48829,1171,3,1295.28802410752,1292.0539284693,36.0351247382193
0,125,843.122253417969,-843.122680664062,49219,781,3,921.145713599772,917.675303179545,30.407716918798
0,126,438.019226074219,-438.019622802734,49610,390,3,492.063560690803,488.336636683178,22.2669918964228
0,127,0,0,0,0,0,0,0,0
1,0,315.044158935547,-315.044555664062,390,49610,3,254.55225579023,252.624259171375,16.0154602380682
1,1,583.182495117188,-583.182922363281,780,49220,3,441.266791214648,439.602165613424,21.0460856263904
1,2,825.012756347656,-825.01318359375,1171,48829,3,593.705190223835,592.222817764282,24.3965422377565
1,3,1044.26623535156,-1044.2666015625,1562,48438,3,719.311752765189,717.974639774998,26.8449502870572
1,4,1256.58471679688,-1256.58508300781,1952,48048,3,840.536313740413,839.294862715516,29.0134382841722
1,5,1441.85131835938,-1441.85168457031,2343,47657,3,929.78179572588,928.645850980532,30.5109673722351
1,6,1639.30017089844,-1639.30053710938,2733,47267,3,1039.0522810875,1037.97169705301,32.2511083540975
1,7,1848.30639648438,-1848.30676269531,3124,46876,3,1165.37001662726,1164.31722728647,34.1529465480294
1,8,2025.72778320312,-2025.72814941406,3514,46486,3,1255.05201118774,1254.05105011672,35.4408489064235
1,9,2186.9267578125,-2186.92724609375,3905,46095,3,1327.55942337723,1326.61320644563,36.4486805687837
1,10,2350.50756835938,-2350.50805664062,4296,45704,3,1406.03223537635,1405.12747255176,37.5091666233539
1,11,2495.02954101562,-2495.03002929688,4687,45313,3,1464.70143037693,1463.84329841052,38.282633992401
