feat,bin,sumLeft,sumRight,weightLeft,weightRight,lambda,cosNum_term,cosDen_term,gain
5,23,9.078188961109845,-9.078399876132607,8984.0,41016.0,3.0,0.011179551209618999,0.011176343070120626,0.10574857100691841
5,24,17.748162371775834,-17.748373286798596,9375.0,40625.0,3.0,0.041342350699471384,0.04133103315485803,0.20335602116271792
5,25,26.866828805505065,-26.867039720527828,9765.0,40235.0,3.0,0.09183626811756972,0.09181223497754405,0.30308465409618945
5,26,27.954730032681255,-27.954940947704017,10156.0,39844.0,3.0,0.09653559167992484,0.09651139923381533,0.31074071215458426
5,27,19.724236607027706,-19.72444752205047,10546.0,39454.0,3.0,0.04674004529156977,0.04672880744513398,0.21622045657292419
5,28,29.126928361089085,-29.127139276111848,10937.0,39063.0,3.0,0.09926510358594816,0.0992421703627475,0.31510005094991206
5,29,31.63488005248655,-31.635090967509313,11327.0,38673.0,3.0,0.11420479838695957,0.11417940321361728,0.3379795840114618
5,30,33.78625355982513,-33.78646447484789,11718.0,38282.0,3.0,0.12720674625199022,0.127179482726052,0.356698774349483
5,31,7.396860259308596,-7.397071174331359,12109.0,37891.0,3.0,0.005961240327550182,0.005960007131227426,0.07721705627020442
5,32,5.095175980837666,-5.095386895860429,12500.0,37500.0,3.0,0.0027686575538708297,0.0027681039665254435,0.052623295715177286
5,33,-2.913695508017554,2.9134845929947915,12890.0,37110.0,3.0,0.0008871849999886164,0.0008870132966732584,0.029788533642013813
5,34,-12.31094795196259,12.310737036939827,13281.0,36719.0,3.0,0.015536241402531636,0.015533327644928327,0.12465614989522417
5,35,-18.06646786966303,18.066256954640266,13671.0,36329.0,3.0,0.03285344896818089,0.03284747025345745,0.18127169875939514
5,36,-6.6456076949689304,6.645396779946168,14062.0,35938.0,3.0,0.00436871657833716,0.004367944269587139,0.06610211058386341
5,37,-8.572227094773552,8.57201617975079,14452.0,35548.0,3.0,0.00715044972094553,0.007149220257611591,0.08456760251841322
5,38,-12.40369510265009,12.403484187627328,14843.0,35157.0,3.0,0.014738781261119206,0.01473631378143615,0.12141354600686985
5,39,-8.109181641819305,8.108970726796542,15234.0,34766.0,3.0,0.006206941073346444,0.006205928171774583,0.07879057139175473
5,40,5.407827475937665,-5.408038390960428,15625.0,34375.0,3.0,0.002722039042325717,0.002721605582383938,0.05217731855225065
5,41,12.092035444817157,-12.092246359839919,16015.0,33985.0,3.0,0.013430491109653324,0.013428401736307532,0.11589901124725885
5,42,0.9912312906380976,-0.99144220566086,16406.0,33594.0,3.0,8.913538760196689e-05,8.912182780912477e-05,0.00944187213734211
5,43,18.221325080099632,-18.221535995122395,16796.0,33204.0,3.0,0.029762700522115965,0.02975826771315908,0.17253154491682576
5,44,23.87035836240102,-23.870569277423783,17187.0,32813.0,3.0,0.05051043552377181,0.0505030633763537,0.22476167099248417
5,45,15.094978055058164,-15.095188970080926,17577.0,32423.0,3.0,0.019988449443703947,0.019985587483237192,0.14139063552444667
5,46,7.900407094901311,-7.900618009924074,17968.0,32032.0,3.0,0.005421661738738662,0.005420899471050148,0.07363711098090799
5,47,10.489881903093192,-10.490092818115954,18359.0,31641.0,3.0,0.009470182932349717,0.009468874159175427,0.09732159003232847
5,48,28.37113227804366,-28.371343193066423,18750.0,31250.0,3.0,0.06867764741375161,0.06866830867091592,0.26208202423408655
5,49,10.411873812947306,-10.412084727970068,19140.0,30860.0,3.0,0.009175685215849052,0.009174456290190983,0.09579621237879231
5,50,-6.433013003799715,6.432802088776953,19531.0,30469.0,3.0,0.0034765438194300532,0.0034760847603419426,0.058966116873527256
5,51,4.379283587666578,-4.37949450268934,19921.0,30079.0,3.0,0.0016001536384220192,0.0015999451179042876,0.04000452707027277
5,52,10.450168787720031,-10.450379702742794,20312.0,29688.0,3.0,0.009053868802470937,0.009052703308840454,0.09515794473481091
5,53,-1.5083529403491411,1.5081420253263786,20702.0,29298.0,3.0,0.00018750812861754123,0.00018748425969443688,0.013694232383724055
5,54,-1.3626567210594658,1.3624458060367033,21093.0,28907.0,3.0,0.00015222644912926805,0.00015220726940719053,0.012338785648036558
5,55,3.459561769705033,-3.4597726847277954,21484.0,28516.0,3.0,0.0009767354982909162,0.0009766135765951712,0.031254718607076314
5,56,12.964397595700575,-12.964608510723338,21875.0,28125.0,3.0,0.013657981206388371,0.013656290437147056,0.1168746002558376
5,57,38.41646634830977,-38.41667726333253,22265.0,27735.0,3.0,0.11948206315801413,0.11946737980705568,0.3456830171033225
5,58,34.660506454267306,-34.66071736929007,22656.0,27344.0,3.0,0.09694912416665821,0.09693728538922064,0.3113855558466778
5,59,42.365513250551885,-42.36572416557465,23046.0,26954.0,3.0,0.14445261476411236,0.1444350695220391,0.3800923073905771
5,60,29.885337823041482,-29.885548738064244,23437.0,26563.0,3.0,0.07172285243242543,0.07171417920375003,0.2678274196381975
5,61,39.506004336173646,-39.50621525119641,23827.0,26173.0,3.0,0.1251189860285178,0.1251039073260174,0.35374293851389543
5,62,36.902092819218524,-36.902303734241286,24218.0,25782.0,3.0,0.1090353468670035,0.10902223857754349,0.3302248578355948
5,63,32.71908305658144,-32.7192939716042,24609.0,25391.0,3.0,0.08565428596148389,0.08564400365361195,0.2926851029755979
5,64,30.050329160207184,-30.050540075229947,25000.0,25000.0,3.0,0.07223362162339717,0.07222495462884171,0.26877925823618154
5,65,3.4502992214402184,-3.450510136462981,25390.0,24610.0,3.0,0.0009525417826258333,0.0009524274355898531,0.030865128274318743
5,66,-6.398861866517109,6.398650951494346,25781.0,24219.0,3.0,0.0032783289760813165,0.003277934855871468,0.05726013572877673
5,67,-10.846000506615383,10.84578959159262,26171.0,23829.0,3.0,0.009430222245927562,0.00942908578139768,0.09711518340317707
5,68,-10.538816260712338,10.538605345689575,26562.0,23438.0,3.0,0.0089188855827376,0.008917807060396594,0.09444556228598265
5,69,-6.7787266504747095,6.778515735451947,26952.0,23048.0,3.0,0.0036980662310525532,0.003697617075355804,0.06081542108140823
5,70,0.6961310384067474,-0.6963419534295099,27343.0,22657.0,3.0,3.911959135792544e-05,3.911481427126443e-05,0.0062549475639697705
5,71,-4.069824077261728,4.069613162238966,27734.0,22266.0,3.0,0.0013408747733534784,0.0013407099947043027,0.036620207157450825
5,72,-12.15420421732415,12.153993302301387,28125.0,21875.0,3.0,0.012003840748512754,0.012002354751296802,0.10956882279968261
5,73,4.193347414417076,-4.193558329439838,28515.0,21485.0,3.0,0.001435005814379841,0.0014348266901067133,0.0378838350885296
5,74,-5.814412492400152,5.814201577377389,28906.0,21094.0,3.0,0.0027717994677458014,0.002771450254434129,0.052651198704869805
5,75,-2.0997317282744916,2.099520813251729,29296.0,20704.0,3.0,0.0003633529048920175,0.000363306656082927,0.01906303122770786
5,76,12.730891420753323,-12.731102335776086,29687.0,20313.0,3.0,0.013436924807376965,0.013435195129058624,0.11592521170296875
5,77,23.29239467276784,-23.292605587790604,30077.0,19923.0,3.0,0.0452644419388749,0.045258543723061484,0.21276827988062447
5,78,6.523572559715831,-6.523783474738593,30468.0,19532.0,3.0,0.00357528033611981,0.003574808256000257,0.059797595926433925
5,79,10.612369619120727,-10.61258053414349,30859.0,19141.0,3.0,0.009532366972691343,0.009531090312882606,0.09764037998443409
5,80,22.713765633598086,-22.71397654862085,31250.0,18750.0,3.0,0.044019283818384006,0.04401329808207968,0.2098219968657687
5,81,39.24496262143657,-39.24517353645933,31640.0,18360.0,3.0,0.13254752554026206,0.13252920823226716,0.36409592881540676
5,82,27.321145978479763,-27.321356893502525,32031.0,17969.0,3.0,0.06483606580735846,0.06482695040858909,0.2546471725502866
5,83,29.479061824458768,-29.47927273948153,32421.0,17579.0,3.0,0.07622871440092788,0.07621780090650511,0.27611524669607607
5,84,25.058760157044162,-25.058971072066925,32812.0,17188.0,3.0,0.055663758081478706,0.05565563416540725,0.235948899517201
5,85,19.27020938649366,-19.270420301516424,33202.0,16798.0,3.0,0.03328608210926052,0.0332811250304699,0.1824583238067983
